Sentence,Aspect Term,polarity
It's super fast and a great value for the price!,value,positive
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,positive
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard,negative
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,negative
I took off a star because the machine has a lot of junk software on it.,software,negative
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,positive
  This time the mouse pad and right click key wouldn't work!,mouse pad,negative
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",mouse,neutral
I will have to purchase Spy ware or Nortell for privacy protection.,Spy ware,neutral
"  Also, I have had alot of trouble with the shift key to go to other lines.",shift key,negative
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,positive
The wheel that turns the volume up and down doesn't work in real time.,wheel,negative
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive
but now i have realized its a problem with this brand.,brand,negative
I had to pay for the shipping!,shipping,negative
"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned.",applications,positive
Apple care included.,Apple care,neutral
The battery life is probably an hour at best.,battery life,negative
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,positive
The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,negative
The best thing about this laptop is the price along with some of the newer features.,features,positive
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,antivirus software,negative
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",bluetooth enabled,negative
"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Dashboard,neutral
"Did I mention everything about it, from size to weight to keyboard screams BULK?",keyboard,negative
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use,positive
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software,positive
"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the ""repair"".",hinge,neutral
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,positive
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,negative
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,negative
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",itunes,positive
The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,repair depot,neutral
The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,negative
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",Internet focused activity,neutral
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,negative
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,flexibility,positive
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",document creation,neutral
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative
"After numerous calls to Applecare tech support, I was directed to send in my computer;",Applecare tech support,negative
"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",HD,negative
Later it held zero charge and its replacement worked for less than three months.,charge,negative
The only problems are the sound isnt very loud I have to wear headphones.,sound,negative
"  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.",Windows Vista Home Premium,neutral
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",3 year warranty,negative
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR5,positive
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive
" I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",dvd drive,negative
It also does not have bluetooth.,bluetooth,negative
Asus facial recognition doesn't work and windows logon isn't either.,facial recognition,negative
I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,ASUS TECH SUPPORT,negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,Battery life,negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,positive
The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,performs,positive
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,negative
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",internet,neutral
Take your time and go through the tutorials patiently.,tutorials,neutral
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,negative
"Bigger HD, better graphics card, and a bid HD.",graphics card,positive
  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,warranty,neutral
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",running,positive
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,neutral
"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",internet connection,negative
"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.",gaming,negative
It's software and speed enable it to do amazing things.,speed,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,neutral
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,mobile video editing,neutral
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,negative
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,positive
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",mouse command buttons,negative
It weighed like seven pounds or something like that.,seven pounds,neutral
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,performs,positive
I also liked the glass screen.,glass screen,positive
I can barely use any usb devices because they will not stay connected properly.,usb devices,negative
"Once again, I was told it was the suspicious  power supply  problem.",power supply,negative
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,positive
"I upgraded it's RAM to 2GB, I am very happy with it.",RAM,positive
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,look,positive
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",heat sink,negative
The Toshiba Net book operates very well.,operates,positive
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",design,negative
It works fine with our wireless and they've had not problems.,works,positive
It is fast and i have not had a problem with internet connection or any other problems.,internet connection,positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,positive
Like the price and operation.,price,positive
"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative
  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,warrenty,neutral
It's a great product for a great price!,price,positive
lots of extra space but the keyboard is ridiculously small.,space,positive
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,positive
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,negative
"The battery holds up well, it's built very solidly, and runs fast.",runs,positive
The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life,negative
Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.,BIOS,negative
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,wall charger,neutral
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,price,positive
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,negative
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,neutral
Quality Display  I was surprised with the performance and quality of this HP Laptop.,performance,positive
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",BIOS,negative
1.You can not change your desktop background (window's 7 starter does NOT support that function).,desktop background,negative
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,positive
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",presentations,neutral
"the touch pad is fine - again, it's a real touch pad.",touch pad,positive
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,positive
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral
Connecting to my wireless router via built-in wireless took no time at all.,built-in wireless,positive
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,negative
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive
It seems they could have updated XP and done without creating Vista.,Vista,negative
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory card reader,neutral
"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.",programs,negative
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,positive
"It is well worth the money it cost, Very good investment.",cost,positive
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",screen,neutral
Unless you need the Bluetooth 3.,Bluetooth 3,neutral
I bought this laptop and found its TAB is not functioning.,TAB,negative
"It pretty much does everything we could ever need, and looks great to boot.",boot,positive
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",drivers,negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,negative
The performance is awesome.,performance,positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive
"  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,negative
"  The hard drive crashed as well, and I had to buy a new  power cord.",hard drive,negative
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,negative
Its white color is stylish for college students and easy to take to carry and take to classes.,color,positive
It's fast and has excellent battery life.,battery life,positive
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",internet connectivity,neutral
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,negative
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,neutral
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,positive
2.The wireless card is low quality.,wireless card,negative
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral
And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.,screen,positive
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",memory,neutral
"The price is great for this model, I only plan on using it for media in the entertainment room.",price,positive
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",Windows 7 Ultimate,neutral
defective software.,software,negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,neutral
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs,negative
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,negative
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,positive
After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,warranty,neutral
"Crisp screen, great battery life, and plenty of storage.",storage,positive
The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,Leopard running system,neutral
I will never go back to Windows!,Windows,negative
The keyboard is top notch.,keyboard,positive
HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,negative
The only bad part is the size/weight.,weight,negative
"Also, the space bar makes a noisy click every time you use it.",space bar,negative
"Also, macbooks come with much more features which are so cool!",features,positive
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,negative
Getting the Apple Care plan is a must.,Apple Care plan,positive
It is good to know that I can mobilize without having to worry about the battery life.,battery life,positive
"How Toshiba handles the repair seems to vary, some folks  indicate that they were charged for even an intial fix, others had the  repair done 5 times.",repair,positive
tons of bloatware and junk programs.,programs,negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative
"*=Webcam is a bit laggy, not the greatest.",Webcam,negative
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,neutral
"From the get-go, the M6809 was unsteady in its operation;",operation,negative
The trackpad was easy to learn and navigate.,trackpad,positive
1.You can not change your desktop background (window's 7 starter does NOT support that function).,function,negative
The shop will definitely push the problem to the service center.,service center,neutral
"I had a USB connect but, i can't use it because it is not compatible.",USB connect,negative
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,positive
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,positive
The real stand out on this computer is the feel of the keyboard and it's speed.,speed,positive
" A coupla months later, they change my hard drive.",hard drive,negative
"It has plenty of memory, lots of hard drive, and great graphics.",memory,positive
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative
"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty,positive
The display is awesome.,display,positive
"It is easy to use, has great screen quality, and every so light weight.",use,positive
But the screen size is not that bad for email and web browsing.,web browsing,neutral
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive
It is easy to use and lightweight.,use,positive
 THE MOTHERBOARD IS DEAD !,MOTHERBOARD,negative
of course my warranty runs out next month.,warranty,neutral
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive
It is easy to navigate and update programs.,update programs,neutral
Hmmm - that high failure rate sure isn't reflected in the retail price.,retail price,negative
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,warranty,neutral
"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory stick,negative
Excellent LED monitor and well equipped.,LED monitor,positive
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,price tag,negative
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",Wireless,positive
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",USB ports,negative
10 hours of battery life is really something else....,battery life,positive
But other than that I am blown away by all the features this laptop offers.,features,positive
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",repair center,neutral
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,positive
The letter A stopped working after the first week.,letter A,negative
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,carry,neutral
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",Windows 7,positive
"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",user interface,positive
The graphics are stunning.,graphics,positive
I have only had PCs with Windows before so this takes a little getting use to.,Windows,neutral
the mouse buttons are hard to push.,mouse buttons,negative
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral
"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.",plug,negative
Love that it doesn't take up space like a regular computer.,space,positive
Not even safe mode boots.,safe mode,negative
"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,negative
only good thing is the graphics quality.,graphics quality,positive
"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",applications,negative
"Love the graphics, awesome programs (including Garageband), and really cool default background.",Garageband,positive
"Aside from the trial software and the short battery life, lack of a webcam, its great.",battery life,negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,negative
This computer had exactly the specifications I needed.,specifications,positive
"The price was very good, and the product is top quality.",price,positive
PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.,Powerpoint program,neutral
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",keyboard,positive
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,positive
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive
Its a good laptop for its value.,value,positive
This computer was so challenging to carry and handle.,carry,negative
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,neutral
"I love its solid build, light wt and excellent battery life (for now).",wt,positive
It had most of the features and all of the power that I wanted to replace my desktop machine.,features,positive
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",iWork,neutral
"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",loads,positive
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,positive
"Oh yea, has no numeric pad on the side.",numeric pad,negative
"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,positive
"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).",1 GB ram,neutral
"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.",screen,negative
Pay attention to the specs if you want these options.,specs,neutral
The only downfall is the volume control.,volume control,negative
The screen is bright and the keyboard is nice;,screen,positive
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,surfing the web,neutral
Even though the computer is larger they did not make the keyboard larger.,keyboard,negative
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",display,positive
"  Now, as easy as it is to use, and I do think it is a great STARTER laptop.",use,positive
"Took me 11 hours, 3 trips to different FedEx offices, and brutal conversations with 14 of the worse IT support technicians in the world.",IT support technicians,negative
This laptop meets every expectation and Windows 7 is great!,Windows 7,positive
But the screen size is not that bad for email and web browsing.,screen size,positive
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,negative
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",set up,positive
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",programs,neutral
The processor is very quick and effective as I load webpages and applications.,applications,neutral
"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",apple associates,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,positive
Enjoy that Toshib force and durability unparalleled,force,positive
The service I received from Toshiba went above and beyond the call of duty.,service,positive
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",2GB stick of memory,positive
"  It is easy to use, fast and has great graphics for the money.",graphics,positive
"  Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.",power brick,neutral
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",shipping carton,neutral
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,display,negative
"The driver updates don't fix the issue, very frustrating.",driver updates,negative
"2 months later, the battery went.",battery,negative
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,positive
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative
"The processor went on me, the fan went and the motherboard went.",motherboard,negative
"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",service rep,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,neutral
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",Office,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",windows 7,positive
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost,positive
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,positive
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",carry,positive
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,video chat,negative
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,neutral
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",antiviral program,neutral
Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto,positive
"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).",Pentium 4,neutral
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive
"I am most impressed with the programming, including the iPhoto.",programming,positive
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative
I've also had to have the keyboard replaced at my expense.,keyboard,negative
I'm already hooked on the sleek look and dependability that this laptop has shown.,look,positive
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,negative
I recommend for word processing and internet users.,internet,positive
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",camera,neutral
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,neutral
I would like at least a 4 hr. battery life.,battery life,neutral
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,positive
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","17""",neutral
Windows also shuts the computer down for no reason without warning.,Windows,negative
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality,positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative
"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",photo detection software,positive
None of the techs at HP knew what they were doing.,techs at HP,negative
I bought a protector for my key pad and it works great :),protector,neutral
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",performance specs,neutral
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,power,positive
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",button below the mouse pad,negative
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.",charging,negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",components,negative
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,Toshiba tech support,negative
Strengths:Well-shaped Weaknesses:A bad videocard!,shaped,positive
"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",Apple keyboard,neutral
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive
10 plus hours of battery...,battery,positive
The ease of set up was terrific.,set up,positive
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,positive
And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,performance,positive
The So called laptop Runs to Slow and I hate it!,Runs,negative
Love the stability of the Mac software and operating system.,Mac software,positive
They should have included more memory on their computers if they knew Vista would run slowly.,memory,negative
I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,negative
I had to pay $100 for a universal charger for this cheap $300 laptop.,universal charger,negative
(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),SATA controller,neutral
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,negative
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,security-prone OS,neutral
"Also it is very good for college students who just need a reliable, easy to use computer.",use,positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics,positive
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,negative
"For the same price, you get a lot more in the Asus....1920x1080 res.",price,negative
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative
"Its fast, has High definition quality in the videos.",High definition quality,positive
